thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,trial.rt,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,MRT,Cue.OnsetTime,Dly.OnsetTime,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,handedness,date,expName,frameRate,
,,45678,1,0,Thu Oct  9 08:40:09 2025,1,reward.low,5.014175666998199,0.2246668750012759,0.5,0.5,5.524358249997022,9.30018412500067,6,10.30000504200143,15.311862832997576,0.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:40:19 2025,2,reward.high,15.312623917001474,0.25087045899999794,0.5,2.0,15.819649416996981,19.578460999997333,2,6.270960208996257,21.58330012499937,2.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:40:26 2025,3,loss.high,21.58388370800094,0.2712332079972839,0.5,,22.096895208000205,25.828252916995552,2,6.244941541001026,27.828600916996947,2.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:40:32 2025,4,loss.neut,27.82914591699955,0.24467379099951359,0.5,,28.335361874997034,32.09497233299771,2,6.2661224999974365,34.095058541999606,2.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:40:38 2025,5,reward.neut,34.09572095800104,0.278687958001683,0.5,0.0,34.60387591699691,38.32840537499578,6,10.236601207994681,44.33209270799853,2.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:40:48 2025,6,loss.low,44.33274737499596,0.2511582500010263,0.5,,44.8358539999972,48.595356624995475,4,8.267238375003217,52.59974795800372,2.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:40:57 2025,7,loss.high,52.60027299999638,0.26742791699507507,0.48,,53.08538050000061,56.82843020799919,4,8.228549209001358,60.82861650000268,2.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:41:05 2025,8,loss.neut,60.82928733299923,0.27813333299855003,0.48,,61.315261374998954,65.04521145799663,2,6.21648029199423,67.04552704199887,2.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:41:11 2025,9,reward.high,67.04619345800165,0.2945921670034295,0.48,2.0,67.53222249999817,71.24532741699659,6,10.199625291999837,77.24558454199723,4.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:41:21 2025,10,reward.neut,77.246167917001,0.26125383299950045,0.48,0.0,77.73103654199804,81.47786629199982,4,8.23287829200126,85.47881141700054,4.5,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:41:30 2025,11,reward.low,85.47935741699621,0.2450655420034309,0.48,0.5,85.96474299999682,89.72884024999803,4,8.24976716600213,93.72891087499738,5.0,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:41:38 2025,12,reward.neut,93.72959350000019,0.3113268329980201,0.46,0.0,94.19905108300009,97.89551579199906,2,6.170756457999232,99.9001077080029,5.0,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:41:44 2025,13,loss.neut,99.90072687499924,0.30089083399798255,0.46,,100.3643277500014,104.06818445799581,2,6.178467707999516,106.07899112500309,5.0,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:41:50 2025,14,loss.low,106.07972537499882,0.2939695829991251,0.48,,106.56664312499925,110.27883470799861,6,10.199633874995925,116.2790873749982,5.0,,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,0,Thu Oct  9 08:42:00 2025,15,loss.low,116.27966320799896,0.28376920799928484,0.46,,116.74870366699906,120.46771425000043,6,10.19860874999722,126.47812412500207,5.0,0.27051465273301195,,,,,,,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:42:40 2025,1,loss.high,9.202189167001052,0.217282833000354,0.271,,9.475938666997536,13.085480499998084,6,14.071147374997963,169.63441979199706,0,,5.019076167001913,9.201739333002479,1,"Hit!
$0.00",0,11.095177374998457,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:42:54 2025,2,reward.low,23.58544058300322,,0.271,,23.85911829199904,27.10236183300003,4,12.014394625002751,181.6492422500014,0,,19.090649249999842,23.585130250001384,0,"Miss!
$0.00",0,25.1009117920039,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:43:06 2025,3,loss.neut,35.46887295800116,,0.271,-0.0,35.743415625001944,39.10244491699996,2,10.001309708000917,191.65089379200072,0.0,,31.105388249998214,35.46856545800256,0,"Miss!
-$0.00",0.0,37.109309958002996,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:43:16 2025,4,reward.low,45.407184083000175,,0.291,,45.706461542002216,49.1055870420023,6,14.000349082998582,205.65158462500403,0.0,,41.10703766700317,45.40687520799838,0,"Miss!
$0.00",0.0,47.105934416998934,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:43:30 2025,5,reward.high,59.369367375002184,,0.271,,59.64359945800243,63.11913979199744,2,10.015368749998743,215.66730387500138,0.0,,55.107732500000566,59.368958416998794,0,"Miss!
$0.00",0.0,61.10711891700339,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:43:40 2025,6,loss.neut,69.55776279199927,,0.291,-0.0,69.8562305000014,73.1226743330044,2,10.000206249998882,225.66785054199863,0.0,,65.12344883300102,69.55742316700344,0,"Miss!
-$0.00",0.0,71.12512287500431,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:43:50 2025,7,loss.low,79.15270212500036,,0.271,-0.5,79.42590120800014,83.13590908300102,2,10.016155874996912,235.68435699999827,-0.5,,75.12400499999785,79.15230266700382,0,"Miss!
-$0.50",-0.5,81.14235758299765,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:44:00 2025,8,loss.low,89.40694216699922,,0.291,-0.5,89.70563920799759,93.15261437500158,6,14.017456125002354,249.7021422079997,-1.0,,85.14048770799855,89.4068056670003,0,"Miss!
-$0.50",-1.0,91.15236666700366,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:44:14 2025,9,reward.neut,103.20300800000405,,0.271,,103.47700258300029,107.16861229200003,6,14.014776458003325,263.71724825000274,-1.0,,99.15827474999969,103.20258558299975,0,"Miss!
$0.00",-1.0,105.1635104579982,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
,,45678,1,1,Thu Oct  9 08:44:28 2025,10,loss.neut,117.6693919169993,,0.311,-0.0,117.98946450000221,121.20305420800287,4,12.034395417002088,275.75197262500296,-1.0,,113.17337762500392,117.66908970800432,0,"Miss!
-$0.00",-1.0,119.19570750000275,45678,1,yes,yes,no,0,1,right,2025-10-09_08h39.51.434,MID1.1,None,
