thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Cue.OnsetTime,Dly.OnsetTime,Tgt.OnsetTime,trial.rt,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,trial.cue_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),date,expName,frameRate,
,,5678,1,0,Thu Oct  9 09:40:07 2025,1,loss.high,5.006049666000081,9.050058166000099,9.050794457999928,0.2640367079998214,0.2640367079998214,0,9.556926750000002,1,"Hit!
£0.00",0,11.278754291000041,13.267522500000041,6,14.265977375000148,19.27200691600001,0,,5678,1,no,no,no,2025-10-09_09h39.04.032,MID1.1,None,
,,5678,1,0,Thu Oct  9 09:40:22 2025,2,reward.neut,19.272463499999958,23.588956499999995,23.58940804100007,0.3441552500000853,0.3441552500000853,0.0,24.105217250000123,1,"Hit!
£0.00",0.0,25.46686329099998,27.467259916000103,6,14.199517916999866,33.47197904099994,0.0,,5678,1,no,no,no,2025-10-09_09h39.04.032,MID1.1,None,
,,5678,1,0,Thu Oct  9 09:40:36 2025,3,loss.neut,33.47238237500005,37.70654424999998,37.706989582999995,0.2255251250001038,0.2255251250001038,0,38.22185850000005,1,"Hit!
£0.00",0.0,39.783814957999994,41.784129625000105,2,10.316493916000127,43.78887229099996,0.0,,5678,1,no,no,no,2025-10-09_09h39.04.032,MID1.1,None,
,,5678,1,0,Thu Oct  9 09:40:46 2025,4,reward.high,43.78932162499996,48.28343795799992,48.28391950000014,0.2701934589999837,0.2701934589999837,2.0,48.78823549999993,1,"Hit!
+£2.00",2.0,50.06236020799997,52.050611333000006,6,14.266017791999957,58.05533304100004,2.0,,5678,1,no,no,no,2025-10-09_09h39.04.032,MID1.1,None,
,,5678,1,0,Thu Oct  9 09:41:00 2025,5,loss.low,58.055748958000095,62.20045550000009,62.2009303750001,0.26535520900006304,0.26535520900006304,0,62.71000608300005,1,"Hit!
£0.00",2.0,64.32261145799998,66.31752437499995,6,14.266534291000198,72.3222806660001,2.0,,5678,1,no,no,no,2025-10-09_09h39.04.032,MID1.1,None,
,,5678,1,0,Thu Oct  9 09:41:15 2025,6,reward.low,72.32273229099997,76.36696379099999,76.36751404100005,0.2937594170000466,0.2937594170000466,0.5,76.87279320800008,1,"Hit!
+£0.50",2.5,78.56364829099994,80.56720654100013,2,10.24953266700004,82.57226145799996,2.5,0.40360195800008114,5678,1,no,no,no,2025-10-09_09h39.04.032,MID1.1,None,
